miRNA 1B 2B 3B 4B 5B 6B 7B 8B 9B 10B 11B 12B 13B 14B 15B 16B 17B 18B 19B 20B 21B 22B 23B 24B 25B 26B 27B 28B 29B 30B 31B 32B 33B 34B 35B 36B 37B 38B 39B 40B 41B 42B 43B 44B 45B 46B 47B 48B 49B 50B 51B 52B 53B 54B 55B 56B 57B 58B 59B 60B 61B 62B 63B 64B 65B 66B 67B 68B 69B 70B
hsa-miR-4769-5p 0.00 1.00 0.00 0.00 2.00 2.00 0.00 0.00 0.00 4.00 0.00 0.00 1.00 1.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 3.00 0.00 0.00 0.00 1.00 2.00 2.00 0.00 1.00 2.00 2.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 6.00 20.00 0.00 0.00 0.00
hsa-miR-1306-5p 296.00 145.00 596.00 302.00 1019.00 223.00 368.00 341.00 214.00 700.00 684.00 717.00 92.00 192.00 328.00 335.00 155.00 264.00 61.00 167.00 61.00 180.00 135.00 263.00 297.00 325.00 188.00 149.00 264.00 243.00 137.00 73.00 188.00 99.00 201.00 284.00 638.00 145.00 887.00 550.00 864.00 207.00 491.00 933.00 504.00 730.00 75.00 348.00 144.00 283.00 241.00 188.00 249.00 142.00 279.00 125.00 246.00 329.00 199.00 216.00 133.00 271.00 94.00 120.00 576.00 131.00 21.00 413.00 810.00 684.00
hsa-miR-519b-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-489-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 3.00 1.00 0.00 0.00 0.00 0.00 0.00 3.00 0.00 0.00 0.00 0.00 1.00 1.00 2.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 1.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 1.00 1.00 0.00 4.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-23a-3p 76797.00 13275.00 62979.00 88808.00 57790.00 44703.00 35312.00 45291.00 48303.00 62347.00 73217.00 17236.00 40237.00 21075.00 19366.00 65369.00 41418.00 21749.00 7614.00 13036.00 5448.00 10870.00 5009.00 29165.00 29203.00 39485.00 15235.00 5553.00 15468.00 39317.00 8073.00 37161.00 39338.00 6201.00 34924.00 19306.00 108148.00 16135.00 76350.00 114659.00 115408.00 19352.00 23991.00 107837.00 56193.00 83586.00 73854.00 20878.00 14628.00 38450.00 46269.00 36671.00 8793.00 13557.00 32679.00 36764.00 26158.00 25831.00 12743.00 8568.00 32746.00 24100.00 16250.00 14374.00 51533.00 39382.00 18890.00 16341.00 19090.00 4380.00
hsa-miR-6796-5p 1.00 2.00 0.00 0.00 1.00 0.00 3.00 2.00 3.00 0.00 3.00 1.00 1.00 0.00 0.00 1.00 0.00 2.00 0.00 1.00 0.00 3.00 0.00 0.00 0.00 2.00 0.00 0.00 4.00 2.00 0.00 3.00 1.00 1.00 0.00 0.00 0.00 2.00 1.00 0.00 1.00 1.00 0.00 0.00 1.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 1.00 0.00 2.00 0.00 3.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 31.00 31.00 0.00 0.00 0.00
hsa-miR-675-3p 0.00 0.00 0.00 3.00 1.00 0.00 0.00 1.00 0.00 0.00 2.00 12.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 4.00 4.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 5.00 2.00 0.00 1.00 1.00 0.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 1.00 2.00 1.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-2110 833.00 124.00 284.00 679.00 670.00 516.00 981.00 873.00 608.00 582.00 566.00 302.00 644.00 511.00 243.00 616.00 279.00 104.00 41.00 218.00 32.00 156.00 82.00 227.00 176.00 492.00 168.00 34.00 120.00 302.00 468.00 146.00 119.00 1044.00 970.00 1062.00 554.00 667.00 575.00 514.00 690.00 77.00 343.00 638.00 225.00 417.00 117.00 340.00 170.00 279.00 409.00 318.00 147.00 952.00 311.00 312.00 404.00 322.00 172.00 175.00 286.00 398.00 708.00 134.00 261.00 538.00 703.00 217.00 180.00 121.00
hsa-miR-1269a 0.00 0.00 0.00 3.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-483-3p 5.00 0.00 1.00 4.00 46.00 4.00 4.00 5.00 1.00 12.00 7.00 146.00 1.00 5.00 4.00 10.00 2.00 6.00 0.00 0.00 0.00 9.00 17.00 8.00 4.00 5.00 29.00 8.00 3.00 11.00 3.00 8.00 2.00 0.00 3.00 2.00 10.00 1.00 9.00 7.00 7.00 3.00 18.00 4.00 15.00 26.00 3.00 53.00 1.00 2.00 3.00 3.00 20.00 3.00 6.00 1.00 11.00 9.00 2.00 9.00 3.00 7.00 2.00 14.00 0.00 0.00 0.00 0.00 38.00 0.00
hsa-miR-4659a-3p 55.00 4.00 5.00 29.00 2.00 18.00 13.00 30.00 13.00 8.00 10.00 0.00 67.00 8.00 4.00 23.00 11.00 2.00 1.00 2.00 2.00 0.00 1.00 2.00 6.00 4.00 0.00 1.00 0.00 4.00 18.00 18.00 5.00 33.00 40.00 23.00 19.00 28.00 12.00 30.00 16.00 4.00 0.00 16.00 9.00 6.00 16.00 7.00 4.00 5.00 12.00 10.00 2.00 30.00 3.00 4.00 3.00 3.00 4.00 0.00 32.00 0.00 34.00 2.00 0.00 44.00 0.00 0.00 22.00 0.00
hsa-miR-1912-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-146a-5p 326299.00 45166.00 247616.00 407045.00 78133.00 121691.00 122436.00 121730.00 186178.00 310312.00 209676.00 58766.00 126164.00 77674.00 52953.00 245183.00 285690.00 107714.00 16558.00 77005.00 12327.00 24733.00 10838.00 124378.00 84716.00 205069.00 27339.00 17664.00 44452.00 128566.00 11301.00 70035.00 101568.00 11053.00 90953.00 39448.00 257564.00 25645.00 239669.00 351064.00 496176.00 63600.00 53496.00 382674.00 108816.00 327486.00 271989.00 87081.00 72409.00 221820.00 185415.00 227644.00 33983.00 32463.00 108258.00 70277.00 71347.00 72359.00 34739.00 26134.00 124494.00 132734.00 21975.00 9620.00 592462.00 229139.00 273309.00 144217.00 244148.00 19031.00
hsa-miR-1289 24 2 4 4 8 8 18 16 12 2 4 2 30 8 2 12 0 0 0 0 2 0 2 0 0 0 0 0 0 2 8 8 2 10 16 4 4 26 2 4 0 0 0 2 2 6 1 2 0 2 6 4 0 2 6 0 6 0 0 0 10 0 12 0 0 30 50 0 0 0
hsa-miR-8485 13.00 2.00 5.00 16.00 0.00 6.00 9.00 3.00 9.00 0.00 1.00 2.00 3.00 1.00 0.00 1.00 5.00 0.00 0.00 2.00 0.00 0.00 1.00 3.00 3.00 0.00 0.00 0.00 1.00 8.00 5.00 1.00 2.00 7.00 4.00 2.00 2.00 5.00 2.00 3.00 3.00 0.00 9.00 3.00 1.00 1.00 2.00 0.00 1.00 2.00 3.00 0.00 0.00 8.00 2.00 2.00 2.00 4.00 2.00 0.00 6.00 2.00 9.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00
hsa-miR-563 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-425-3p 7251.00 776.00 6752.00 8830.00 6915.00 2602.00 3348.00 5929.00 5520.00 6880.00 7223.00 907.00 3351.00 1749.00 1776.00 7741.00 3758.00 702.00 226.00 904.00 170.00 440.00 201.00 1845.00 2234.00 4276.00 522.00 170.00 518.00 2017.00 1602.00 1896.00 1473.00 525.00 3187.00 1591.00 9217.00 3753.00 5793.00 10042.00 8234.00 859.00 1586.00 8053.00 2391.00 7069.00 4236.00 1256.00 1294.00 3793.00 3739.00 3400.00 605.00 1261.00 2428.00 1751.00 1406.00 2205.00 864.00 507.00 2475.00 1786.00 1466.00 639.00 14131.00 9155.00 7758.00 3431.00 4796.00 782.00
hsa-miR-4474-3p 4.00 1.00 1.00 0.00 1.00 3.00 2.00 0.00 0.00 0.00 3.00 1.00 4.00 0.00 0.00 1.00 2.00 0.00 0.00 0.00 2.00 0.00 1.00 5.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 1.00 4.00 2.00 1.00 0.00 4.00 1.00 1.00 2.00 1.00 0.00 0.00 1.00 5.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 5.00 2.00 0.00 0.00 0.00 0.00 2.00 3.00 0.00 3.00 5.00 0.00 13.00 0.00 0.00 0.00
hsa-miR-5002-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-3672 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-let-7a-3p 742 86 375 600 198 280 183 302 213 169 335 54 881 113 83 371 207 93 46 46 36 40 22 95 122 148 54 38 50 203 296 158 296 202 388 121 493 536 179 523 321 90 94 353 488 169 557 42 100 178 208 135 56 243 104 152 88 131 72 26 189 111 266 70 320 412 30 78 0 0
hsa-miR-190b-3p 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4488 118.00 139.00 31.00 494.00 199.00 682.00 876.00 456.00 859.00 40.00 163.00 11.00 322.00 163.00 13.00 231.00 374.00 90.00 47.00 229.00 33.00 2.00 22.00 94.00 43.00 65.00 183.00 21.00 124.00 196.00 212.00 112.00 284.00 399.00 342.00 441.00 0.00 405.00 273.00 30.00 112.00 24.00 96.00 74.00 252.00 214.00 107.00 11.00 18.00 33.00 133.00 133.00 15.00 191.00 199.00 187.00 113.00 19.00 34.00 53.00 501.00 98.00 60.00 15.00 128.00 1002.00 318.00 105.00 99.00 84.00
hsa-miR-3691-5p 10.00 4.00 6.00 6.00 13.00 6.00 5.00 14.00 7.00 3.00 3.00 1.00 9.00 3.00 0.00 13.00 7.00 3.00 0.00 1.00 0.00 0.00 0.00 0.00 1.00 5.00 2.00 0.00 4.00 3.00 6.00 2.00 4.00 9.00 7.00 5.00 14.00 13.00 6.00 8.00 4.00 0.00 2.00 9.00 4.00 7.00 2.00 2.00 0.00 6.00 5.00 4.00 0.00 7.00 7.00 0.00 8.00 1.00 0.00 2.00 6.00 2.00 12.00 1.00 0.00 15.00 25.00 0.00 0.00 42.00
hsa-miR-10527-5p 198.00 36.00 89.00 204.00 152.00 140.00 178.00 265.00 202.00 185.00 152.00 96.00 136.00 90.00 75.00 203.00 92.00 41.00 11.00 60.00 8.00 31.00 23.00 99.00 61.00 147.00 35.00 12.00 38.00 118.00 142.00 60.00 44.00 142.00 142.00 126.00 126.00 226.00 141.00 149.00 176.00 28.00 76.00 177.00 67.00 197.00 79.00 80.00 20.00 92.00 92.00 84.00 37.00 120.00 80.00 64.00 59.00 78.00 9.00 17.00 78.00 70.00 140.00 33.00 93.00 139.00 160.00 17.00 0.00 47.00
hsa-miR-3688-5p 10 1 0 0 0 4 7 2 0 0 3 0 19 3 0 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 7 2 0 2 6 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 3 1 2 3 0 0 2 0 0 0 3 0 1 0 0 0 0 0 0 0
hsa-miR-532-3p 616.00 193.00 174.00 419.00 746.00 358.00 792.00 1369.00 932.00 392.00 294.00 309.00 402.00 298.00 129.00 439.00 84.00 84.00 63.00 87.00 30.00 155.00 147.00 152.00 147.00 223.00 206.00 11.00 100.00 221.00 297.00 260.00 160.00 656.00 601.00 374.00 399.00 1072.00 330.00 433.00 278.00 124.00 233.00 277.00 170.00 487.00 52.00 199.00 36.00 124.00 145.00 147.00 163.00 379.00 197.00 197.00 351.00 334.00 96.00 139.00 134.00 172.00 385.00 142.00 223.00 499.00 266.00 440.00 236.00 1.00
hsa-miR-4747-5p 16.00 3.00 6.00 5.00 12.00 10.00 21.00 5.00 13.00 1.00 1.00 5.00 19.00 8.00 2.00 10.00 2.00 0.00 0.00 2.00 0.00 0.00 0.00 3.00 3.00 4.00 0.00 0.00 0.00 1.00 16.00 2.00 2.00 17.00 18.00 18.00 6.00 18.00 3.00 1.00 2.00 0.00 0.00 2.00 1.00 3.00 0.00 2.00 3.00 2.00 0.00 2.00 1.00 21.00 6.00 0.00 2.00 1.00 0.00 0.00 5.00 5.00 5.00 0.00 3.00 3.00 0.00 0.00 0.00 0.00
hsa-miR-6813-3p 1.00 0.00 1.00 1.00 8.00 0.00 1.00 0.00 0.00 0.00 2.00 0.00 1.00 0.00 0.00 2.00 0.00 1.00 0.00 1.00 0.00 0.00 0.00 0.00 1.00 3.00 3.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 1.00 3.00 4.00 0.00 0.00 1.00 0.00 0.00 1.00 0.00 1.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 1.00 1.00 6.00 4.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-3150b-3p 14.00 4.00 12.00 13.00 45.00 13.00 24.00 8.00 7.00 11.00 32.00 5.00 15.00 6.00 6.00 15.00 20.00 5.00 1.00 3.00 0.00 5.00 4.00 4.00 6.00 8.00 14.00 0.00 0.00 14.00 8.00 11.00 5.00 9.00 9.00 9.00 36.00 23.00 14.00 18.00 8.00 0.00 5.00 4.00 1.00 4.00 8.00 6.00 3.00 4.00 7.00 2.00 8.00 9.00 5.00 12.00 13.00 9.00 0.00 2.00 13.00 6.00 10.00 4.00 61.00 46.00 26.00 50.00 37.00 36.00
hsa-miR-6858-5p 0.00 0.00 0.00 0.00 1.00 1.00 1.00 0.00 5.00 1.00 2.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 1.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 1.00 1.00 1.00 0.00 0.00 2.00 0.00 0.00 2.00 0.00 0.00 0.00 2.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-6768-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 1.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4797-3p 22.00 1.00 4.00 5.00 1.00 4.00 6.00 5.00 1.00 6.00 1.00 1.00 2.00 5.00 0.00 4.00 3.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 3.00 0.00 0.00 4.00 4.00 1.00 2.00 11.00 0.00 10.00 8.00 2.00 0.00 3.00 4.00 11.00 4.00 0.00 0.00 4.00 1.00 0.00 0.00 5.00 0.00 0.00 5.00 0.00 3.00 0.00 0.00 0.00 1.00 0.00 14.00 16.00 0.00 0.00 35.00 0.00
hsa-miR-4684-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4638-5p 7.00 0.00 5.00 4.00 10.00 3.00 3.00 5.00 3.00 17.00 5.00 0.00 2.00 2.00 1.00 5.00 6.00 4.00 0.00 2.00 1.00 0.00 0.00 0.00 3.00 1.00 0.00 0.00 2.00 2.00 2.00 1.00 0.00 1.00 1.00 2.00 8.00 0.00 7.00 3.00 6.00 0.00 2.00 7.00 1.00 6.00 2.00 3.00 1.00 1.00 7.00 2.00 0.00 0.00 0.00 4.00 1.00 1.00 0.00 2.00 3.00 3.00 1.00 0.00 29.00 7.00 0.00 0.00 0.00 0.00
hsa-miR-4300 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-6868-3p 3.00 4.00 3.00 1.00 6.00 6.00 7.00 1.00 5.00 10.00 0.00 0.00 0.00 1.00 1.00 7.00 1.00 0.00 0.00 0.00 0.00 3.00 0.00 0.00 0.00 3.00 0.00 1.00 0.00 4.00 1.00 0.00 3.00 2.00 19.00 5.00 0.00 4.00 0.00 2.00 8.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00 0.00 5.00 7.00 5.00 3.00 0.00 2.00 0.00 0.00 5.00 0.00 0.00 3.00 0.00 5.00 0.00 35.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-101-5p 54.00 35.00 17.00 13.00 10.00 7.00 19.00 19.00 6.00 12.00 7.00 4.00 48.00 17.00 2.00 7.00 12.00 14.00 8.00 0.00 8.00 4.00 3.00 3.00 4.00 6.00 2.00 0.00 3.00 10.00 30.00 17.00 27.00 41.00 82.00 16.00 33.00 60.00 9.00 17.00 14.00 15.00 8.00 13.00 37.00 13.00 18.00 5.00 4.00 6.00 6.00 9.00 4.00 41.00 4.00 4.00 10.00 8.00 2.00 0.00 10.00 14.00 34.00 0.00 15.00 2.00 0.00 0.00 0.00 0.00
hsa-miR-4650-3p 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-6771-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-548bc 3.00 0.00 0.00 1.00 0.00 2.00 0.00 3.00 0.00 0.00 1.00 0.00 1.00 0.00 0.00 3.00 2.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 4.00 0.00 0.00 4.00 0.00 1.00 0.00 1.00 0.00 1.00 0.00 5.00 3.00 5.00 3.00 3.00 1.00 1.00 4.00 5.00 0.00 5.00 0.00 0.00 3.00 0.00 0.00 0.00 0.00 0.00 0.00 3.00 0.00 4.00 0.00 0.00 0.00 1.00 0.00 3.00 0.00 1.00 0.00 0.00 0.00
hsa-miR-6748-3p 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 3.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 1.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-1248 6.00 4.00 1.00 14.00 10.00 29.00 17.00 23.00 26.00 0.00 4.00 0.00 21.00 1.00 0.00 14.00 17.00 0.00 0.00 1.00 0.00 0.00 0.00 1.00 1.00 0.00 2.00 0.00 0.00 3.00 2.00 3.00 4.00 8.00 4.00 12.00 0.00 6.00 6.00 0.00 13.00 2.00 0.00 6.00 0.00 1.00 10.00 0.00 0.00 0.00 6.00 0.00 0.00 2.00 0.00 1.00 3.00 0.00 0.00 0.00 10.00 4.00 4.00 0.00 5.00 46.00 0.00 0.00 0.00 0.00
hsa-miR-4463 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 7.00 0.00 20.00 28.00 0.00 0.00
hsa-miR-6794-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4763-5p 1.00 0.00 0.00 1.00 0.00 4.00 0.00 4.00 2.00 1.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 4.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 1.00 3.00 2.00 1.00 1.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 3.00 0.00 0.00 6.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-6132 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-579-5p 26.00 3.00 11.00 9.00 3.00 20.00 22.00 34.00 21.00 5.00 10.00 0.00 42.00 11.00 3.00 23.00 10.00 1.00 2.00 3.00 0.00 0.00 2.00 3.00 7.00 4.00 4.00 5.00 0.00 4.00 4.00 3.00 7.00 16.00 19.00 26.00 13.00 21.00 7.00 17.00 21.00 3.00 0.00 8.00 6.00 18.00 8.00 5.00 5.00 8.00 7.00 11.00 0.00 21.00 11.00 4.00 4.00 5.00 4.00 2.00 9.00 1.00 22.00 0.00 5.00 26.00 0.00 0.00 28.00 0.00
