miRNA 31A 31B 32A 32B 33A 33B 34A 34B 35A 35B 36A 36B 37A 37B 38A 38B 39A 39B 40A 40B 41A 41B 42A 42B 43A 43B 44A 44B 45A 45B 46A 46B 47A 47B 48A 48B 49A 49B 50A 50B 51A 51B 52A 52B 53A 53B 54A 54B 55A 55B 56A 56B 57A 57B 58A 58B 59A 59B 60A 60B 61A 61B 62A 62B 63A 63B 64A 64B 65A 65B 66A 66B 67A 67B 68A 68B 69A 69B 70A 70B
hsa-miR-6515-3p 0.00 0.00 2.00 1.00 2.00 0.00 1.00 2.00 1.00 2.00 3.00 0.00 3.00 0.00 1.00 0.00 0.00 2.00 1.00 0.00 2.00 1.00 5.00 1.00 1.00 3.00 2.00 2.00 1.00 3.00 0.00 1.00 3.00 0.00 2.00 2.00 2.00 0.00 2.00 2.00 0.00 2.00 2.00 2.00 1.00 0.00 0.00 2.00 3.00 1.00 0.00 2.00 0.00 4.00 2.00 3.00 1.00 0.00 1.00 2.00 0.00 2.00 0.00 1.00 0.00 2.00 0.00 2.00 1.00 5.00 0.00 0.00 15.00 0.00 0.00 8.00 32.00 0.00 0.00 0.00
hsa-miR-1276 4.00 4.00 1.00 1.00 0.00 1.00 0.00 0.00 3.00 0.00 4.00 0.00 0.00 5.00 3.00 3.00 0.00 1.00 6.00 1.00 0.00 4.00 1.00 0.00 5.00 0.00 3.00 2.00 1.00 2.00 0.00 0.00 1.00 1.00 0.00 1.00 0.00 0.00 0.00 0.00 1.00 2.00 0.00 1.00 0.00 0.00 1.00 0.00 2.00 2.00 1.00 1.00 0.00 1.00 0.00 2.00 0.00 0.00 0.00 1.00 4.00 2.00 1.00 0.00 2.00 3.00 0.00 0.00 0.00 2.00 0.00 0.00 6.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-6499-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-2276-3p 3.00 5.00 21.00 15.00 2.00 6.00 4.00 9.00 23.00 11.00 11.00 5.00 5.00 17.00 25.00 21.00 6.00 18.00 13.00 42.00 29.00 28.00 43.00 11.00 22.00 7.00 6.00 46.00 12.00 6.00 6.00 16.00 10.00 14.00 17.00 9.00 3.00 7.00 22.00 12.00 13.00 20.00 13.00 25.00 11.00 4.00 3.00 11.00 15.00 7.00 8.00 11.00 18.00 24.00 12.00 5.00 2.00 0.00 0.00 4.00 8.00 7.00 20.00 11.00 17.00 10.00 4.00 7.00 23.00 29.00 0.00 17.00 18.00 135.00 20.00 51.00 0.00 0.00 0.00 1.00
hsa-miR-3120-3p 6.00 7.00 46.00 23.00 55.00 35.00 46.00 6.00 74.00 40.00 135.00 22.00 27.00 145.00 15.00 7.00 24.00 83.00 23.00 187.00 32.00 128.00 116.00 33.00 113.00 24.00 33.00 196.00 116.00 87.00 39.00 91.00 78.00 114.00 19.00 46.00 5.00 15.00 97.00 67.00 38.00 72.00 18.00 38.00 2.00 16.00 12.00 22.00 34.00 53.00 88.00 16.00 42.00 38.00 35.00 17.00 10.00 12.00 6.00 16.00 25.00 44.00 62.00 41.00 2.00 8.00 33.00 1.00 22.00 104.00 64.00 11.00 36.00 0.00 100.00 82.00 87.00 93.00 68.00 0.00
hsa-miR-6780b-5p 0.00 0.00 0.00 0.00 0.00 1.00 0.00 1.00 0.00 0.00 0.00 1.00 0.00 1.00 0.00 0.00 0.00 1.00 0.00 0.00 3.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 1.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 3.00 1.00 0.00 0.00 2.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 4.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4769-5p 0.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 3.00 0.00 0.00 0.00 0.00 0.00 0.00 3.00 1.00 4.00 2.00 3.00 2.00 1.00 0.00 2.00 1.00 0.00 2.00 0.00 2.00 1.00 0.00 0.00 0.00 1.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 6.00 0.00 20.00 1.00 0.00 0.00 0.00 19.00 0.00
hsa-miR-1306-5p 230.00 137.00 343.00 73.00 375.00 188.00 235.00 99.00 179.00 201.00 276.00 284.00 200.00 638.00 231.00 145.00 189.00 887.00 269.00 550.00 669.00 864.00 955.00 207.00 617.00 491.00 611.00 933.00 472.00 504.00 201.00 730.00 374.00 75.00 94.00 348.00 81.00 144.00 167.00 283.00 374.00 241.00 235.00 188.00 79.00 249.00 231.00 142.00 264.00 279.00 285.00 125.00 357.00 246.00 223.00 329.00 150.00 199.00 78.00 216.00 177.00 133.00 79.00 271.00 65.00 94.00 206.00 120.00 167.00 576.00 401.00 131.00 874.00 21.00 996.00 413.00 785.00 810.00 233.00 684.00
hsa-miR-519b-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-489-3p 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 1.00 0.00 1.00 0.00 0.00 0.00 4.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 4.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-23a-3p 5506.00 8073.00 45675.00 37161.00 44689.00 39338.00 41006.00 6201.00 40970.00 34924.00 122620.00 19306.00 23875.00 108148.00 30662.00 16135.00 20441.00 76350.00 21578.00 114659.00 36283.00 115408.00 81017.00 19352.00 76862.00 23991.00 24613.00 107837.00 73336.00 56193.00 36846.00 83586.00 33105.00 73854.00 16751.00 20878.00 8310.00 14628.00 50110.00 38450.00 26330.00 46269.00 20108.00 36671.00 5612.00 8793.00 15430.00 13557.00 25179.00 32679.00 58118.00 36764.00 37799.00 26158.00 27351.00 25831.00 6185.00 12743.00 4834.00 8568.00 19645.00 32746.00 30971.00 24100.00 22596.00 16250.00 17278.00 14374.00 28226.00 51533.00 12463.00 39382.00 25830.00 18890.00 61643.00 16341.00 18333.00 19090.00 23287.00 4380.00
hsa-miR-6796-5p 0.00 0.00 0.00 3.00 1.00 1.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 2.00 0.00 1.00 0.00 0.00 6.00 1.00 4.00 1.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 1.00 1.00 0.00 2.00 2.00 3.00 0.00 1.00 3.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 5.00 0.00 0.00 0.00 0.00 31.00 0.00 31.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-675-3p 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 2.00 5.00 0.00 2.00 0.00 0.00 0.00 1.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 1.00 1.00 1.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 2.00 0.00 1.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-2110 667.00 468.00 418.00 146.00 214.00 119.00 471.00 1044.00 868.00 970.00 359.00 1062.00 668.00 554.00 618.00 667.00 726.00 575.00 1420.00 514.00 865.00 690.00 504.00 77.00 435.00 343.00 412.00 638.00 272.00 225.00 138.00 417.00 372.00 117.00 529.00 340.00 139.00 170.00 298.00 279.00 295.00 409.00 205.00 318.00 62.00 147.00 285.00 952.00 347.00 311.00 400.00 312.00 389.00 404.00 313.00 322.00 80.00 172.00 40.00 175.00 289.00 286.00 360.00 398.00 305.00 708.00 50.00 134.00 532.00 261.00 134.00 538.00 364.00 703.00 586.00 217.00 121.00 180.00 162.00 121.00
hsa-miR-1269a 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-483-3p 4.00 3.00 4.00 8.00 0.00 2.00 3.00 0.00 1.00 3.00 4.00 2.00 3.00 10.00 6.00 1.00 10.00 9.00 0.00 7.00 8.00 7.00 5.00 3.00 5.00 18.00 11.00 4.00 7.00 15.00 7.00 26.00 18.00 3.00 4.00 53.00 1.00 1.00 1.00 2.00 5.00 3.00 0.00 3.00 1.00 20.00 5.00 3.00 8.00 6.00 5.00 1.00 7.00 11.00 4.00 9.00 9.00 2.00 5.00 9.00 5.00 3.00 5.00 7.00 2.00 2.00 0.00 14.00 5.00 0.00 0.00 0.00 55.00 0.00 0.00 0.00 86.00 38.00 0.00 0.00
hsa-miR-4659a-3p 7.00 18.00 27.00 18.00 7.00 5.00 13.00 33.00 56.00 40.00 49.00 23.00 30.00 19.00 16.00 28.00 34.00 12.00 22.00 30.00 7.00 16.00 18.00 4.00 8.00 0.00 13.00 16.00 20.00 9.00 5.00 6.00 6.00 16.00 20.00 7.00 1.00 4.00 16.00 5.00 2.00 12.00 8.00 10.00 5.00 2.00 4.00 30.00 8.00 3.00 18.00 4.00 3.00 3.00 4.00 3.00 4.00 4.00 0.00 0.00 7.00 32.00 20.00 0.00 33.00 34.00 5.00 2.00 19.00 0.00 0.00 44.00 0.00 0.00 22.00 0.00 16.00 22.00 0.00 0.00
hsa-miR-1912-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-146a-5p 7235.00 11301.00 153001.00 70035.00 154098.00 101568.00 123329.00 11053.00 164175.00 90953.00 340838.00 39448.00 58520.00 257564.00 38807.00 25645.00 70761.00 239669.00 40530.00 351064.00 147687.00 496176.00 283993.00 63600.00 235251.00 53496.00 70347.00 382674.00 167487.00 108816.00 108735.00 327486.00 107437.00 271989.00 55240.00 87081.00 30083.00 72409.00 264742.00 221820.00 93666.00 185415.00 95646.00 227644.00 15871.00 33983.00 42884.00 32463.00 92712.00 108258.00 208898.00 70277.00 163390.00 71347.00 121821.00 72359.00 17434.00 34739.00 13545.00 26134.00 38573.00 124494.00 199432.00 132734.00 12486.00 21975.00 38096.00 9620.00 202127.00 592462.00 42532.00 229139.00 288185.00 273309.00 456779.00 144217.00 254732.00 244148.00 136530.00 19031.00
hsa-miR-1289 2 8 0 8 0 2 10 10 12 16 2 4 16 4 14 26 4 2 10 4 0 0 0 0 4 0 0 2 0 2 0 6 4 1 10 2 0 0 6 2 2 6 0 4 0 0 0 2 2 6 8 0 0 6 0 0 0 0 0 0 2 10 8 0 26 12 0 0 8 0 0 30 0 50 0 0 0 0 0 0
hsa-miR-8485 2.00 5.00 5.00 1.00 1.00 2.00 3.00 7.00 11.00 4.00 1.00 2.00 3.00 2.00 4.00 5.00 2.00 2.00 13.00 3.00 2.00 3.00 0.00 0.00 2.00 9.00 2.00 3.00 0.00 1.00 3.00 1.00 2.00 2.00 2.00 0.00 0.00 1.00 5.00 2.00 0.00 3.00 2.00 0.00 0.00 0.00 2.00 8.00 1.00 2.00 2.00 2.00 1.00 2.00 4.00 4.00 0.00 2.00 0.00 0.00 1.00 6.00 1.00 2.00 7.00 9.00 1.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 13.00 0.00
hsa-miR-563 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-425-3p 418.00 1602.00 3169.00 1896.00 1765.00 1473.00 2171.00 525.00 5671.00 3187.00 6173.00 1591.00 1911.00 9217.00 3630.00 3753.00 1375.00 5793.00 2736.00 10042.00 3038.00 8234.00 5504.00 859.00 7859.00 1586.00 1209.00 8053.00 3424.00 2391.00 2058.00 7069.00 2300.00 4236.00 2134.00 1256.00 512.00 1294.00 4082.00 3793.00 1735.00 3739.00 1779.00 3400.00 351.00 605.00 1019.00 1261.00 3859.00 2428.00 5830.00 1751.00 3344.00 1406.00 1718.00 2205.00 379.00 864.00 293.00 507.00 1246.00 2475.00 2761.00 1786.00 2380.00 1466.00 726.00 639.00 5657.00 14131.00 2259.00 9155.00 8580.00 7758.00 20789.00 3431.00 3625.00 4796.00 7586.00 782.00
hsa-miR-4474-3p 0.00 0.00 5.00 1.00 0.00 4.00 0.00 2.00 3.00 1.00 4.00 0.00 0.00 4.00 3.00 1.00 1.00 1.00 0.00 2.00 1.00 1.00 7.00 0.00 1.00 0.00 0.00 1.00 0.00 5.00 1.00 0.00 3.00 1.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 3.00 0.00 0.00 5.00 0.00 2.00 1.00 0.00 2.00 0.00 1.00 0.00 0.00 0.00 1.00 2.00 1.00 3.00 4.00 0.00 1.00 3.00 2.00 5.00 0.00 0.00 0.00 13.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-5002-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-3672 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-let-7a-3p 40 296 148 158 245 296 157 202 515 388 614 121 155 493 599 536 200 179 189 523 128 321 317 90 211 94 82 353 511 488 140 169 63 557 229 42 40 100 185 178 111 208 111 135 14 56 60 243 125 104 552 152 131 88 80 131 32 72 24 26 135 189 182 111 1342 266 88 70 391 320 74 412 222 30 417 78 0 0 134 0
hsa-miR-190b-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4488 373.00 212.00 193.00 112.00 125.00 284.00 332.00 399.00 116.00 342.00 129.00 441.00 359.00 0.00 311.00 405.00 395.00 273.00 186.00 30.00 6.00 112.00 122.00 24.00 38.00 96.00 80.00 74.00 126.00 252.00 1121.00 214.00 7.00 107.00 101.00 11.00 59.00 18.00 283.00 33.00 55.00 133.00 30.00 133.00 11.00 15.00 45.00 191.00 47.00 199.00 132.00 187.00 9.00 113.00 90.00 19.00 9.00 34.00 14.00 53.00 227.00 501.00 300.00 98.00 50.00 60.00 70.00 15.00 305.00 128.00 294.00 1002.00 0.00 318.00 130.00 105.00 126.00 99.00 0.00 84.00
hsa-miR-3691-5p 3.00 6.00 10.00 2.00 1.00 4.00 2.00 9.00 8.00 7.00 1.00 5.00 13.00 14.00 16.00 13.00 6.00 6.00 12.00 8.00 1.00 4.00 4.00 0.00 3.00 2.00 2.00 9.00 6.00 4.00 4.00 7.00 4.00 2.00 10.00 2.00 3.00 0.00 3.00 6.00 2.00 5.00 2.00 4.00 1.00 0.00 2.00 7.00 1.00 7.00 4.00 0.00 4.00 8.00 1.00 1.00 1.00 0.00 0.00 2.00 4.00 6.00 10.00 2.00 16.00 12.00 5.00 1.00 12.00 0.00 0.00 15.00 32.00 25.00 14.00 0.00 19.00 0.00 0.00 42.00
hsa-miR-10527-5p 69.00 142.00 156.00 60.00 57.00 44.00 93.00 142.00 200.00 142.00 151.00 126.00 179.00 126.00 226.00 226.00 96.00 141.00 176.00 149.00 202.00 176.00 134.00 28.00 167.00 76.00 85.00 177.00 66.00 67.00 73.00 197.00 91.00 79.00 118.00 80.00 19.00 20.00 94.00 92.00 86.00 92.00 68.00 84.00 20.00 37.00 30.00 120.00 66.00 80.00 94.00 64.00 97.00 59.00 93.00 78.00 17.00 9.00 16.00 17.00 56.00 78.00 85.00 70.00 171.00 140.00 24.00 33.00 109.00 93.00 17.00 139.00 214.00 160.00 195.00 17.00 158.00 0.00 85.00 47.00
hsa-miR-3688-5p 0 7 7 2 0 0 2 2 4 6 6 0 2 0 3 2 6 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 4 0 0 0 4 1 0 3 0 1 0 2 0 3 0 0 0 0 2 2 0 0 0 0 0 0 3 3 0 0 6 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-532-3p 449.00 297.00 222.00 260.00 173.00 160.00 275.00 656.00 775.00 601.00 249.00 374.00 441.00 399.00 945.00 1072.00 212.00 330.00 821.00 433.00 801.00 278.00 181.00 124.00 297.00 233.00 259.00 277.00 170.00 170.00 256.00 487.00 214.00 52.00 305.00 199.00 162.00 36.00 142.00 124.00 171.00 145.00 123.00 147.00 50.00 163.00 247.00 379.00 123.00 197.00 228.00 197.00 272.00 351.00 221.00 334.00 66.00 96.00 70.00 139.00 184.00 134.00 241.00 172.00 550.00 385.00 78.00 142.00 237.00 223.00 87.00 499.00 467.00 266.00 583.00 440.00 271.00 236.00 343.00 1.00
hsa-miR-4747-5p 10.00 16.00 11.00 2.00 0.00 2.00 5.00 17.00 27.00 18.00 10.00 18.00 11.00 6.00 16.00 18.00 19.00 3.00 14.00 1.00 3.00 2.00 0.00 0.00 1.00 0.00 1.00 2.00 4.00 1.00 2.00 3.00 3.00 0.00 9.00 2.00 1.00 3.00 1.00 2.00 1.00 0.00 0.00 2.00 0.00 1.00 4.00 21.00 3.00 6.00 2.00 0.00 2.00 2.00 1.00 1.00 2.00 0.00 1.00 0.00 5.00 5.00 7.00 5.00 7.00 5.00 0.00 0.00 4.00 3.00 0.00 3.00 0.00 0.00 24.00 0.00 0.00 0.00 29.00 0.00
hsa-miR-6813-3p 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 1.00 1.00 0.00 0.00 0.00 1.00 1.00 1.00 3.00 0.00 4.00 1.00 0.00 0.00 0.00 2.00 1.00 0.00 0.00 3.00 0.00 0.00 1.00 1.00 0.00 0.00 1.00 2.00 2.00 0.00 0.00 1.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 2.00 2.00 0.00 1.00 1.00 1.00 0.00 6.00 0.00 4.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-3150b-3p 11.00 8.00 13.00 11.00 1.00 5.00 7.00 9.00 19.00 9.00 12.00 9.00 12.00 36.00 16.00 23.00 5.00 14.00 19.00 18.00 22.00 8.00 8.00 0.00 5.00 5.00 4.00 4.00 1.00 1.00 1.00 4.00 8.00 8.00 7.00 6.00 5.00 3.00 7.00 4.00 4.00 7.00 1.00 2.00 0.00 8.00 13.00 9.00 12.00 5.00 13.00 12.00 23.00 13.00 11.00 9.00 2.00 0.00 0.00 2.00 18.00 13.00 8.00 6.00 13.00 10.00 4.00 4.00 25.00 61.00 42.00 46.00 12.00 26.00 48.00 50.00 41.00 37.00 38.00 36.00
hsa-miR-6858-5p 0.00 0.00 0.00 1.00 0.00 0.00 3.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 1.00 1.00 1.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 2.00 1.00 0.00 0.00 0.00 1.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 1.00 2.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 2.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-6768-3p 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4797-3p 1.00 3.00 1.00 0.00 3.00 0.00 0.00 4.00 10.00 4.00 1.00 1.00 0.00 2.00 12.00 11.00 4.00 0.00 1.00 10.00 0.00 8.00 2.00 2.00 0.00 0.00 0.00 3.00 0.00 4.00 3.00 11.00 0.00 4.00 0.00 0.00 0.00 0.00 2.00 4.00 0.00 1.00 0.00 0.00 0.00 0.00 3.00 5.00 0.00 0.00 2.00 0.00 2.00 5.00 0.00 0.00 0.00 3.00 0.00 0.00 0.00 0.00 2.00 0.00 1.00 1.00 0.00 0.00 2.00 14.00 0.00 16.00 0.00 0.00 0.00 0.00 14.00 35.00 0.00 0.00
hsa-miR-4684-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4638-5p 0.00 2.00 3.00 1.00 0.00 0.00 3.00 1.00 5.00 1.00 1.00 2.00 0.00 8.00 1.00 0.00 1.00 7.00 2.00 3.00 11.00 6.00 6.00 0.00 3.00 2.00 2.00 7.00 9.00 1.00 0.00 6.00 0.00 2.00 1.00 3.00 5.00 1.00 1.00 1.00 1.00 7.00 3.00 2.00 0.00 0.00 1.00 0.00 1.00 0.00 1.00 4.00 1.00 1.00 1.00 1.00 0.00 0.00 0.00 2.00 3.00 3.00 1.00 3.00 3.00 1.00 0.00 0.00 2.00 29.00 0.00 7.00 17.00 0.00 0.00 0.00 17.00 0.00 0.00 0.00
hsa-miR-4300 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
